company_name,website,hotel_type,estimated_rooms,london_area,icp_fit_level,icp_fit_reasoning
Aldwych London,https://one-aldwych-london.bookstaygo.com/group-events?locale=en,chain,50-100,London,Medium,Group-ready
Archive,https://archive.org/stream/FinancialTimes1978UKEnglish/Jul%2002%201978%2C%20Financial%20Times%2C%20%2327574%2C%20UK%20%28en%29_djvu.txt,independent,200+,Central London,Medium,200+ rooms
Aspiretravelclub,https://aspiretravelclub.co.uk/news/elite-2011-consortium-to-refocus-on-luxury-market,boutique,50-100,London,Medium,"50-100 rooms, group-..."
Assouline,https://assouline.com/pages/maison,upscale,50-100,London,Medium,"50-100 rooms, group-..."
Banksidehotel,https://www.banksidehotel.com/meetings/,boutique,50-100,London,Medium,Group-ready
Bazaar London,https://bazaar-london.com/,upscale,50-100,Mayfair,Medium,"50-100 rooms, group-..."
"Beaverbrook Townhouse, London hotel review",https://www.cntraveller.com/gallery/best-boutique-hotels-in-london,boutique,100-200,Kensington,Medium,"100-200 rooms, group..."
Best boutique and luxury hotels in Notting Hill,https://www.mrandmrssmith.com/destinations/london/notting-hill/hotels,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
Best Hotel,https://www.hilton.com/en-GB/events/groups/,chain,50-100,London,Medium,Group-ready
"Best Hotels in Notting Hill, London",https://us.trip.com/hotels/london-hotels-list-338/zone1247/,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
BEST WESTERN Maitrise Hotel Maida Vale,https://london.costasur.com/en/apartment-for-rent/internet/best-western-maitrise-hotel-maida-vale.html,luxury,50-100,Maida Vale,Medium,"luxury, 50-100 rooms"
Best Western Plus Delmere Hotel,https://www.bestwestern.co.uk/hotels/best-western-plus-delmere-hotel-83683,chain,50-100,Soho,Medium,"50-100 rooms, group-..."
Bestwesternpremier,http://www.bestwesternpremier.com/,chain,50-100,London,Medium,"50-100 rooms, group-..."
Booking London,https://www.thistle.com/groups/,chain,100-200,London,Medium,"Group-ready, Large venue"
Boutique Hotel,https://thehoxton.com/london/southwark/hotels/,boutique,50-100,City,Medium,Group-ready
Boutique hotel in Chelsea,https://www.sloaneplace.com/,boutique,50-100,Chelsea,Medium,"50-100 rooms, group-..."
Business Hotel,https://thedixon.co.uk/business-hotel-london-tower-bridge-london-bridge/,business,50-100,City,Medium,Group-ready
Bvlgari Hotel,https://www.forbestravelguide.com/destinations/london-united-kingdom,independent,50-100,West End,Medium,Luxury/5-star
Chateaudenmark,https://www.chateaudenmark.com/rooms-and-apartments,upscale,50-100,Victoria,Medium,"50-100 rooms, group-..."
Choosewhere,https://choosewhere.com/london-chelsea-four-and-five-star-luxury-hotels,luxury,50-100,Chelsea,Medium,luxury
citizenM London Shoreditch hotel,https://citizenm-london-shoreditch-hotel.com-stay.com/,luxury,50-100,Islington,Medium,"luxury, 50-100 rooms"
citizenM London Shoreditch – Google hotels,https://www.google.ie/travel/hotels/entity/ChoIjoD4yf3u2cW2ARoNL2cvMTFjbmRkdGdfYxAB,luxury,50-100,Islington,Medium,"luxury, 50-100 rooms"
Claridges,https://www.claridges.co.uk/restaurants-bars/the-painters-room/,upscale,50-100,Mayfair,Medium,"50-100 rooms, group-..."
Cntraveler,https://www.cntraveler.com/gallery/best-boutique-hotels-in-london,boutique,100-200,Kensington,Medium,"100-200 rooms, group..."
Conference Rooms at Millennium Hotel Knightsbridge,https://www.millenniumhotels.com/en/meetings%20events/europe/united-kingdom/london/millennium-hotel-london-knightsbridge/,luxury,50-100,Kensington,Medium,"50-100 rooms, group-..."
Containers Hotel,https://www.canvas-events.co.uk/venues/862/sea-containers-london,boutique,50-100,South Bank,Medium,Group-ready
Curio Collection by Hilton,https://www.ihg.com/curio/,upscale,100-200,Westminster,Medium,Curio luxury collection
Designhotels,https://www.designhotels.com/hotels/united-kingdom/london/,boutique,50-100,Kensington,Medium,"50-100 rooms, group-..."
Discover More Boutique Luxury,https://www.mandeville.co.uk/  ,boutique,50-100,London,Medium,"4-star, 50-100 rooms"
DoubleTree by Hilton London,https://www.doubletree.com/,chain,100-200,Docklands,Medium,DoubleTree Docklands
Doylecollection,https://www.doylecollection.com/hotels/the-bloomsbury-hotel/meetings,upscale,50-100,Bloomsbury,Medium,"50-100 rooms, group-..."
Dublin syndicate prepares 1.2bn bid for Savoy luxury hotel group,https://www.thetimes.com/travel/destinations/uk-travel/dublin-syndicate-prepares-12bn-bid-for-savoy-luxury-hotel-group-t5rkxq9zjd3,luxury,50-100,London,Medium,"50-100 rooms, group-..."
Epdf,https://epdf.tips/frommers-london-2009-frommers-complete.html ,independent,200+,Central London,Medium,200+ rooms
Evening Venue Hire in London,https://www.banksidegallery.com/venue-hire-in-london/,boutique,50-100,City,Medium,Group-ready
"EVERY HOTEL PICCADILLY, London",https://www.hoteldirect.co.uk/every_hotel_Piccadilly.htm,independent,100-200,Westminster,Medium,group-focused
Everyhotelpiccadilly.ratedotels,https://everyhotelpiccadilly.ratedotels.com/,chain,100-200,Westminster,Medium,group-focused
Experience Luxury at London Marriott Hotel Maida Vale in London,https://www.costamar.com/hotel/marriott-maida-vale,luxury,50-100,Maida Vale,Medium,"luxury, 50-100 rooms"
Find the Best Group Travel Rates and Offers,https://www.choicehotels.com/en-uk/groups,chain,50-100,London,Medium,Group-ready
FOUR SEASONS HOTEL LONDON AT TOWER BRIDGE ✰ FITNESSCENTRUM,https://fourseasonsbridge.londonahotel.com/nl/,independent,100-200,Tower Hamlets,Medium,luxury-brand
FOUR SEASONS HOTEL LONDON AT TOWER BRIDGE ✰ UTSIKT ÖVER TOWERN,https://fourseasonsbridge.londonahotel.com/sv/,independent,100-200,Tower Hamlets,Medium,luxury-brand
Four Seasons Hotel London Park Lane,https://www.adaytoremember.london/venues/four-seasons-hotel-london-park-lane,independent,200+,Park Lane,Medium,200+ rooms; group events
Garden Court Hotel,https://www.gardencourthotel.co.uk/,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
Get ready for the new-look Hotel Summit taking place in ...,https://hoteldesigns.net/industry-news/get-ready-for-the-new-look-hotel-summit-taking-place-in-april-2025/,luxury,50-100,London,Medium,"luxury, 50-100 rooms"
Girlahead,https://www.girlahead.com/luxury-travel-world-cannes-december/,luxury,50-100,London,Medium,"50-100 rooms, group-..."
Gnhlondon,https://gnhlondon.com/  ,boutique,Unknown,King's Cross,Medium,group-focused
Goodnessandharmony,https://goodnessandharmony.wordpress.com/tag/elm-guest-house/,boutique,50-100,Westminster,Medium,"50-100 rooms, group-..."
Grange Hotels London,https://www.grangehotels.com/  ,boutique,100-200,Multiple,Medium,"Independent luxury group, multiple London properties"
Great Scotland Yard Hotel,https://www.hyatt.com/,luxury,50-100,Westminster,Medium,"5-star, Westminster"
Greatsmallhotels,https://www.greatsmallhotels.com/united-kingdom/london/boutique-hotels,boutique,50-100,Westminster,Medium,"50-100 rooms, group-..."
Group Booking London,https://www.thistle.com/trafalgar-square/groups/,chain,100-200,City,Medium,"Group-ready, Large venue"
Group Hotel,https://www.novotellondonwest.co.uk/rooms-suites/groups,chain,50-100,London,Medium,Group-ready
Groups,https://www.maybourne.com/en/hotels/the-berkeley/events/groups,chain,50-100,South Bank,Medium,Group-ready
Ham Yard Hotel,https://hamyardhotel.com/,luxury,50-100,Soho,Medium,"luxury, 50-100 rooms"
"Hammersmith and Fulham Hotels, in London: 2,185 Cheap Hammersmith and Fulham Hotel Deals",https://hu.hotelscombined.com/Place/Hammersmith_and_Fulham.htm,luxury,100-200,Hammersmith & Fulham,Medium,4-5 star
Has Plenty of Luxury,https://www.timeout.com/london/hotels/the-hari,luxury,50-100,Belgravia,Medium,Upscale London hotel
Hazlittshotel,https://www.hazlittshotel.com/rooms ,boutique,50-100,Soho,Medium,"50-100 rooms, group-..."
Healthclubmanagement,https://www.healthclubmanagement.co.uk/health-club-management-news-sectors/healing-Hotels-of-the-World-news/healing+Hotels+of+the+World,upscale,50-100,Mayfair,Medium,"50-100 rooms, group-..."
Hilton,https://www.hilton.com/en/events/groups/,chain,100-200,Various,Medium,Chain hotel group events
Hilton Garden Inn,https://www.hiltongardensinn.com/,chain,100-200,Various,Medium,Hilton Garden Inn locations
Hilton London,https://waldorf-hilton-london.bookstaygo.com/group-events,chain,50-100,London,Medium,Group-ready
Hilton London Docklands,https://www.booking.com/hotel/gb/hilton-london-docklands.html,chain,200+,Southwark,Medium,Premium hotel with 1
Hilton London Docklands.De,https://www.booking.com/hotel/gb/hilton-london-docklands.de.html,chain,200+,Southwark,Medium,Premium hotel with 1
Hire London,https://www.15hatfields.com/ ,boutique,50-100,South Bank,Medium,Group-ready
Home,https://www.thebanksideballroom.co.uk/,business,50-100,South Bank,Medium,Group-ready
Hotel Bayswater,https://www.royallancaster.com/results/hotel-bayswater/,luxury,Unknown,Paddington,Medium,group-focused
"Hotel citizenM London Shoreditch (London, United Kingdom)",https://www.trivago.ie/en-IE/oar/hotel-citizenm-london-shoreditch?search=100-5817162,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
"Hotel Details60-64 Warwick Way, London, England SW1V 1SA Great Britain",https://www.bestwestern.com/en_US/book/hotels-in-london/best-western-victoria-palace/propertyCode.83873.html,chain,50-100,Westminster,Medium,"50-100 rooms, group-..."
"Hotel Details85-89 Belgrave Road, Victoria, London, England SW1V 2BQ Great Britain",https://www.bestwestern.com/en_US/book/hotel-details.83799.html,chain,50-100,Westminster,Medium,"50-100 rooms, group-..."
Hotel in Hammersmith Area London,https://community.ricksteves.com/travel-forum/england/hotel-in-hammersmith-area-london,chain,100-200,Hammersmith & Fulham,Medium,group-focused
Hotel Indigo London Clerkenwell,https://www.cvent.com/venues/london/hotel/hotel-indigo-clerkenwell/venue-958908e0-7276-4325-b451-a03bccdb7d92,luxury,50-100,Islington,Medium,"luxury, 50-100 rooms"
Hotel Meeting Rooms for Hire in London,https://www.tagvenue.com/hire/hotel-meeting-rooms/london ,boutique,50-100,Westminster,Medium,"50-100 rooms, group-..."
Hotel Rooms & Suites Near Tower Bridge,https://www.thistle.com/the-tower/rooms,independent,100-200,Tower Hamlets,Medium,group-focused
Hotel Strand Continental,https://www.cvent.com/venues/en-US/london/hotel/hotel-strand-continental/venue-825de34f-b58d-46ba-912b-3133eea5c86c?p=36,business,100-200,Westminster,Medium,group-focused
"Hotele w pobliżu Holland Park, Zakwaterowanie blisko Holland Park Wielka Brytani",http://www.letsbookhotel.com/pl/uk/landmark-hotels-near/holland-park/hotels-accommodation.aspx,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
Hotels in Leicester Square,https://www.thezhotels.com/hotels/leicester-square/,luxury,100-200,Westminster,Medium,4-5 star
"Hotels in London, United Kingdom",https://www.bestwestern.co.uk/destinations/united-kingdom/england/greater-london/london,chain,50-100,Westminster,Medium,"50-100 rooms, group-..."
"Hotels in Maida Vale, London from $107/night",https://www.kayak.com/London-Hotels_Maida-Vale.N219805.28501.hotel.ksp,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
Hotels in Shoreditch,https://www.thezhotels.com/hotels/shoreditch/,luxury,50-100,Islington,Medium,"luxury, 50-100 rooms"
Hotels in Soho,https://www.thezhotels.com/hotels/soho/,luxury,50-100,Soho,Medium,"luxury, 50-100 rooms"
Hotels near Holland Park in London,https://www.besthotelsinlondon.net/en/near-holland-park-299666/9/,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
"Hotels near Holland Park, Accommodation close to Holland Park UK",http://letsbookhotel.com/en/uk/landmark-hotels-near/holland-park/hotels-accommodation.aspx,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
"Hotels near Holland Park, London",https://www.hotelinlondon.net/en/near-holland-park-299666/5/,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
Hotels near Leicester Square London,https://www.hotels.com/de1632894/hotels-near-leicester-square-london-united-kingdom/,independent,100-200,Westminster,Medium,group-focused
Hotels near Notting Hill Gate Station (London) from $55/night,https://www.kayak.com/London-Hotels_Notting-Hill-Gate-Station.L8628.28501.hotel.ksp,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
Hotels near Tower Bridge London,https://www.hotels.com/de1653503/hotels-near-tower-bridge-london-united-kingdom/,independent,100-200,Tower Hamlets,Medium,group-focused
Hotels near Wardour Street in London,https://www.hotelsinlondon.info/en/near-wardour-street-1037106/14/,luxury,50-100,Soho,Medium,"luxury, 50-100 rooms"
"Hotels near Wardour Street, London",https://www.londonhotelsuk.net/en/near-wardour-street-1037106/4/,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
Hotels With Tennis,https://hotels-with-tennis.com/London_chelsea/luxury_normal/,luxury,50-100,Chelsea,Medium,luxury
Hyatt Regency London Blackfriars Uk.Nl,https://www.booking.com/hotel/gb/hyatt-regency-london-blackfriars-uk.nl.html,luxury,200+,Westminster,Medium,Premium hotel with 1
Hyatt Regency London Stratford.En Gb,https://www.booking.com/hotel/gb/hyatt-regency-london-stratford.en-gb.html,chain,200+,Victoria,Medium,Premium hotel with 1
Ibis London Docklands Canary Wharf,https://ibis-london-docklands-canary-wharf.londonhotelsgb.com/,business,50-100,Docklands,Medium,3-star Docklands hotel 87 rooms
Imperialhotels,https://www.imperialhotels.co.uk/our-guests/group-bookings,chain,50-100,City,Medium,Group-ready
In The UK Is In London,https://www.timeout.com/london/news/the-best-hotel-in-the-uk-is-in-london-according-to-muddy-stilettos-073025,boutique,Unknown,Soho,Medium,Upscale London hotel
Kayagnhlondon,https://kayagnhlondon.com/,boutique,Unknown,King's Cross,Medium,group-focused
Kensington Court Hotel,https://kensingtoncourthotelnottinghill.com/,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
Kingscrosshoteluk,https://kingscrosshoteluk.com/,business,Unknown,King's Cross,Medium,group-focused
Langhamhotels,https://www.langhamhotels.com/en/the-langham/london/events/meetings/,upscale,100-200,London,Medium,"100-200 rooms, group..."
Leicester Square Hotel,https://www.thistlehotels.com/trafalgar-square,independent,100-200,Westminster,Medium,4-5 star
Lhg,https://lhg.co.uk/our-best-western-hotels/,chain,50-100,Victoria,Medium,"50-100 rooms, group-..."
"London Chigwell Prince Regent Hotel, BW Signature Collection by Best...",https://www.bestwestern.co.uk/hotels/london-chigwell-prince-regent-hotel-bw-signature-collection-by-best-western-84320?iata=00171420,chain,50-100,London,Medium,"50-100 rooms, group-..."
London Hilton On Park Lane.Pl,https://www.booking.com/hotel/gb/london-hilton-on-park-lane.pl.html,chain,200+,Mayfair,Medium,Premium hotel with 1
London Hotel Group,https://lhg.co.uk/,chain,100-200,Multiple,Medium,"Budget chain, group bookings 15-500 rooms"
London hotels in Maida Vale,https://www.hotels-of-london.com/en/near-maida-vale-dr132683/,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
London hotels near Regent Street,https://www.il.kayak.com/London-Hotels_Regent-Street.L168198.28501.hotel.ksp,luxury,100-200,Westminster,Medium,4-5 star
London Shoreditch hotel,https://www.citizenm.com/hotels/europe/london/shoreditch-hotel?y_source=1_NDkyNzM5MTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,luxury,50-100,Islington,Medium,"luxury, 50-100 rooms"
Londonbridgehotel,https://londonbridgehotel.com/,boutique,50-100,City,Medium,Group-ready
Londonconferencing,https://www.londonconferencing.com/park-plaza-westminster.php,upscale,50-100,Westminster,Medium,"50-100 rooms, group-..."
Londonmetpresents,https://londonmetpresents.com/,luxury,50-100,Kensington,Medium,"50-100 rooms, group-..."
Loscarlondon,https://www.loscarlondon.com/,boutique,50-100,Covent Garden,Medium,"50-100 rooms, group-..."
Luxury Boutique Hotel Notting Hill,https://www.portobellohotel.com/,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
Luxury Hotel,http://www.flemings-mayfair.co.uk/about/ ,independent,50-100,Mayfair,Medium,Luxury/5-star
Luxury Hotel in central London,https://www.stjamescourthotel.co.uk/en/about-the-hotel/location-central-london/,luxury,100-200,Westminster,Medium,4-5 star
Luxuryhotel,https://luxuryhotel.guru/london_chelsea/,luxury,50-100,Chelsea,Medium,luxury
Maitrise Hotel Maida Vale,https://www.makemytrip.com/hotels-international/en-us/united_kingdom/london-hotels/maitrise_hotel_maida_vale-details.html,luxury,50-100,Islington,Medium,"luxury, 50-100 rooms"
Marriott Hotel,https://www.marriott.com/en-us/hotels/londx-the-dixon-tower-bridge-autograph-collection/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,boutique,100-200,Tower Hamlets,Medium,group-focused
ME London,https://www.melia.com/,luxury,100-200,Leicester Square,Medium,"5-star, 100+ rooms"
Meeting & Event Rooms in Central London,https://www.strandpalacehotel.co.uk/meeting-rooms.html,business,200+,Westminster,Medium,group-focused
Meeting and Conference Venues London,https://panpacific.com/en/hotels-and-resorts/pp-london/meeting-and-events/leadenhall.html,business,50-100,City,Medium,Group-ready
"Meeting Rooms at The Strand Palace Hotel, Strand Palace Hotel, Strand, London, United Kingdom",https://www.meetingsbooker.com/uk/en/meeting-rooms-conference-facilities-in/the-strand-palace-hotel?attendees=30,business,100-200,Westminster,Medium,group-focused
Meetings & Events,https://www.leonardo-hotels.com/london/leonardo-royal-hotel-london-city/meeting,business,50-100,South Bank,Medium,Group-ready
"Meetings & Events at Hilton London Canary Wharf , London, United Kingdom",https://www.conferencehotelgroup.com/hotels/7409/Hilton-London-Canary-Wharf-,business,200+,West End,Medium,Group-ready
"Meetings & Events at Hilton London Tower Bridge, London, United Kingdom",https://www.conferencehotelgroup.com/hotels/1451,business,200+,City,Medium,Group-ready
Milestonehotel,https://milestonehotel.com/,boutique,50-100,Kensington,Medium,"50-100 rooms, group-..."
MIMI'S HOTEL SOHO LONDON,https://mimissoho.hotelinlondon.net/en/,luxury,50-100,Islington,Medium,"luxury, 50-100 rooms"
Mrandmrssmith,https://www.mrandmrssmith.com/destinations/london/kensington/hotels,luxury,50-100,Kensington,Medium,luxury
"Nobu Hotel London Shoreditch (London, United Kingdom)",https://www.trivago.ie/en-IE/oar/nobu-hotel-london-shoreditch-hackney?search=100-6846814&101-53=,luxury,50-100,Islington,Medium,"luxury, 50-100 rooms"
Notting Hill Hotel London,https://www.phoenixhotel.co.uk/,business,100-200,Notting Hill,Medium,"business, 100-200 rooms"
Novotel London Bridge,https://meetings.accor.com/hotel/3269/index.en.shtml,business,50-100,South Bank,Medium,Group-ready
Novotel London Tower Bridge,https://meetings.accor.com/hotel/3107/index.en.shtml,business,50-100,City,Medium,Group-ready
Novotel London West,http://www.accorhotels.com/gb/hotel-0737-novotel-london-west/index.shtml,chain,100-200,Hammersmith & Fulham,Medium,group-focused
Oetkerhotels,https://www.oetkerhotels.com/hotels/the-lanesborough/,luxury,50-100,Central London,Medium,luxury
Oliver Plaza Hotel 4,https://oliverplaza.londonahotel.com/en/,upscale,50-100,Westminster,Medium,"50-100 rooms, group-..."
One Hundred Shoreditch London,https://www.onehundredshoreditch.com/?gad=1 ,independent,200+,Islington,Medium,"independent, 200+ rooms"
Paperdressvintage,https://www.paperdressvintage.co.uk/ ,boutique,50-100,Victoria,Medium,"50-100 rooms, group-..."
Park Plaza County Hall,https://www.booking.com/hotel/gb/park-plaza-county-hall.html,chain,200+,Westminster,Medium,Premium hotel with 1
Park Plaza County Hall.Sv,https://www.booking.com/hotel/gb/park-plaza-county-hall.sv.html,chain,200+,Westminster,Medium,Premium hotel with 1
Park Plaza London,https://www.parkplaza.com/,business,200+,Southwark,Medium,"4-star, 200+ rooms"
Park Plaza Westminster Bridge.Ru,https://www.booking.com/hotel/gb/park-plaza-westminster-bridge.ru.html,chain,200+,Westminster,Medium,Premium hotel with 1
Park Plaza Westminster Bridge.Sv,https://www.booking.com/hotel/gb/park-plaza-westminster-bridge.sv.html,chain,200+,Westminster,Medium,Premium hotel with 1
Parkplazawestminster,http://www.parkplazawestminster.com/,upscale,50-100,Westminster,Medium,"50-100 rooms, group-..."
Parkplazawestminsterbridge,http://www.parkplazawestminsterbridge.com/,upscale,50-100,Westminster,Medium,"50-100 rooms, group-..."
Photography srl,https://www.timeout.com/london/hotels/the-franklin-london-starhotels-collezione,boutique,50-100,Kensington,Medium,Upscale London hotel
Plazalondonhotel,https://www.plazalondonhotel.co.uk/groups/,chain,50-100,London,Medium,Group-ready
Premier Inn London,https://www.premierinn.com/gb/en/hotels/london.html,chain,100-200,Central London,Medium,"3-star chain, multiple locations"
Prince Akatoki London to join Small Luxury Hotels of the World,https://boutiquehotelnews.com/news/hotel/prince-akatoki-london-to-join-small-luxury-hotels-of-the-world/,boutique,50-100,London,Medium,"50-100 rooms, group-..."
Pub in Hammersmith with Rooms,http://www.brookgreenhotel.co.uk/,boutique,100-200,Hammersmith & Fulham,Medium,group-focused
Pullmanlondonstpancras,https://www.pullmanlondonstpancras.com/,business,Unknown,King's Cross,Medium,Luxury property
Quality Hotel Wembley,https://www.qualityhotels.com/hotels/wembley-london/,business,100-200,Wembley,Medium,"4-star hotel, group rates, 146 rooms"
Radisson Blu Hotel London,https://www.radissonhotels.com/en-us/hotels/radisson-blu-london,business,100-200,Canary Wharf,Medium,"4-star, 100+ rooms"
Radisson Collection London,https://www.radissonhotels.com/en-us/hotels/radisson-collection-london-may-fair/weddings,chain,50-100,Central London,Medium,group events
Riverbankparkplaza,https://www.booking.com/hotel/gb/riverbankparkplaza.html,chain,200+,Westminster,Medium,Premium hotel with 1
Roomandbook,https://www.roomandbook.co.uk/about,boutique,50-100,Strand,Medium,"50-100 rooms, group-..."
Roomelondon,https://roomelondon.com/,upscale,50-100,London,Medium,"50-100 rooms, group-..."
Royalgardenhotel,https://www.royalgardenhotel.co.uk/,luxury,50-100,Kensington,Medium,luxury
Royalhorseguardshotel,https://www.royalhorseguardshotel.com/rooms/groups,luxury,100-200,London,Medium,"Group-ready, Large venue"
Sea Containers London,https://www.booking.com/hotel/gb/sea-containers-london.html?label=gen173nr-1BCAsoUEIVc2VhLWNvbnRhaW5lcnMtbG9uZG9uSAlYBGinAogBAZgBMbgBGMgBDNgBAegBAYgCAagCBLgC36u4wAbAAgHSAiQ1OWE2MmQwOS1lNWQ0LTRjZDMtODVmNi0yOTYxNzk5M2Q4MGLYAgXgAgE&dist=0&keep_landing=1&sb_price_type=total&type=total,business,200+,Southwark,Medium,Premium hotel with 1
Sea Containers London.Nl,https://www.booking.com/hotel/gb/sea-containers-london.nl.html,luxury,200+,Covent Garden,Medium,Premium hotel with 1
Sea Containers London.Sv,https://www.booking.com/hotel/gb/sea-containers-london.sv.html,business,200+,Covent Garden,Medium,Premium hotel with 1
Seacontainerslondon,http://seacontainerslondon.com/ ,independent,100-200,South Bank,Medium,50+ rooms
Shangri La At The Shard London.En Gb,https://www.booking.com/hotel/gb/shangri-la-at-the-shard-london.en-gb.html,chain,200+,Southwark,Medium,Premium hotel with 1
Slh,https://www.slh.com/hotels/the-academy/,boutique,50-100,Bloomsbury,Medium,"50-100 rooms, group-..."
Small Luxury Hotels introduces Wellbeing Collection,https://boutiquehotelnews.com/tag/wellbeing-collection/,boutique,50-100,Shoreditch,Medium,"50-100 rooms, group-..."
Sofitel,https://sofitel.accor.com/en/hotels/3144/meetings.html,luxury,50-100,Westminster,Medium,"50-100 rooms, group-..."
Spectacular River Thames View,https://www.booking.com/hotel/gb/spectacular-river-thames-view.html,luxury,200+,Piccadilly,Medium,Premium hotel with 1
St Martins Lane,https://www.travelstay.com/attractions/St-Martins-Courtyard_Hotel_List.htm,chain,200+,Central,Medium,Premium hotel events
"St. James' Court London, A Taj Hotel",http://stjamescourthotel.co.uk/en/about-the-hotel/,luxury,100-200,Westminster,Medium,4-5 star
Strand Palace Hotel,https://www.strandpalacehotel.co.uk/,boutique,100-200,Covent Garden,Medium,Historic Strand hotel
Strandpalacehotel,https://www.strandpalacehotel.co.uk/meetings-and-events/covent-garden-one.html,business,100-200,Westminster,Medium,group-focused
Summer Parties,https://www.banksidehotel.com/summer-parties/,boutique,50-100,South Bank,Medium,Group-ready
Sweet Inn Fitzrovia London.Hotelmix,https://sweet-inn-fitzrovia-london.hotelmix.co.uk/,chain,Unknown,Fitzrovia,Medium,Luxury property
The 8 Best Hotels in Knightsbridge,https://www.thehotelguru.com/en-us/best-hotels/london/knightsbridge,independent,100-200,Knightsbridge,Medium,50+ rooms
The Academy.Da,https://www.booking.com/hotel/gb/the-academy.da.html,luxury,200+,Camden,Medium,Premium hotel with 1
The Bermondsey Square.En Gb,https://www.booking.com/hotel/gb/the-bermondsey-square.en-gb.html,chain,200+,Southwark,Medium,Premium hotel with 1
The Dixon: Marriott Hotel near Tower Bridge & London Bridge,http://dixonlondon.com/,luxury,100-200,Tower Hamlets,Medium,4-5 star
The Goring,https://www.thegoring.com/,independent,50-100,South Bank,Medium,Luxury/5-star
The Hand & Flower,https://www.handandflower.co.uk/,business,100-200,Hammersmith & Fulham,Medium,group-focused
The Hotel,https://www.pullmanlondonstpancras.com/the-hotel/,business,Unknown,King's Cross,Medium,Luxury property
"The Hoxton, Shoreditch – Google hotels",https://www.google.ie/travel/hotels/entity/ChcI18PG5P6VpJEUGgsvZy8xdGRjOTh0NhAB,luxury,50-100,Islington,Medium,"luxury, 50-100 rooms"
The Londoner Hotel Sliema,https://www.hotelplanner.com/Hotels/339738/Reservations-The-Londoner-Hotel-Sliema-Sliema-82-The-Strand-SLM2033,chain,50-100,Westminster,Medium,group-focused
The Newman London Hotel Review Bdtkzc6X3,http://thetimes.co.uk/travel/destinations/uk-travel/england/london-travel/the-newman-london-hotel-review-bdtkzc6x3,boutique,50-100,Fitzrovia,Medium,Luxury property | 50+ rooms
The Oxford Hotel,https://www.the-oxford-hotel.com/groups/,chain,50-100,London,Medium,Group-ready
The Red Carnation Hotel Collection,https://www.redcarnationhotels.com/,luxury,50-100,Various,Medium,Independent luxury hotels
The Rubens at the Palace,https://www.redcarnationhotels.com/,business,100-200,Westminster,Medium,"4-star, Westminster"
The Soho Hotel,https://www.firmdalehotels.com/london/the-soho-hotel,luxury,50-100,Soho,Medium,"luxury, 50-100 rooms"
"THE SOHO HOTEL, FIRMDALE HOTELS",https://uk-london.us/hotel/thesoholondon,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
The Tower Hotel,https://www.towerhotel.com/,business,200+,Tower Bridge,Medium,"4-star hotel, group bookings, riverside location"
The Twenty Two London,https://www.thetwentytwo.com/london/ ,independent,50-100,Mayfair,Medium,"Luxury/5-star, Group-ready"
The Wellesley Knightsbridge,https://www.thewellesleyknightsbridge.com/,luxury,50-100,Knightsbridge,Medium,"5-star, Knightsbridge"
THE Z HOTEL SOHO LONDON • BEST CANCELLATION POLICY,https://thezsoho.londonahotel.com/en/,luxury,50-100,Soho,Medium,"luxury, 50-100 rooms"
The Zetter Clerkenwell and the Marrable’s hotel,https://www.clerkenwelldesignweek.com/news/zetter-clerkenwell-marrables-hotel,luxury,50-100,Clerkenwell,Medium,"luxury, 50-100 rooms"
The Zetter Townhouse,https://www.booking.com/hotel/gb/the-zetter-townhouse.html,business,200+,Islington,Medium,Premium hotel with 1
Thebanksideballroom,https://www.thebanksideballroom.co.uk/,chain,50-100,Central London,Medium,
Thecaterer,https://www.thecaterer.com/all-content/small-luxury-hotels-of-the-world,boutique,50-100,London,Medium,"50-100 rooms, group-..."
Thechelseatownhouse,https://www.thechelseatownhouse.com/,luxury,50-100,Chelsea,Medium,luxury
Thegoodenough,https://www.thegoodenough.co.uk/meetings-events,upscale,50-100,London,Medium,"50-100 rooms, group-..."
Thelondonlocal,https://thelondonlocal.com/london-hotels-with-a-view-of-the-river-thames/ ,independent,100-200,South Bank,Medium,50+ rooms
Theluxuryeditor,https://theluxuryeditor.com/location/europe/united-kingdom/england/greater-london/london/kensington/,luxury,50-100,Kensington,Medium,luxury
